diameter,sigmaColor,sigmaSpace,average_cost,best_cost
6.033376515017112,74.22989745302554,19.846484470028834,-33.608381462072906,-35.69411186241465
6.3330338084979765,74.35363997713291,20.109470958872656,-34.28919406962069,-35.6942241916419
6.602725372630754,74.46500824882955,20.346158798832096,-35.085220487627616,-35.81118321433879
7.546671862044456,74.39979832449079,22.30449078172289,-35.49464738345072,-35.811407769414345
8.112767025140219,73.75224027959422,24.775099383143065,-35.230495941799994,-35.82563106737037
8.649972248112805,73.79351966878686,25.26505761939788,-35.07925670888112,-35.82563106737037
8.994515359998186,74.020511694085,24.992496376470907,-35.05678458079674,-35.82563106737037
8.926395357779205,74.53320489772015,20.344604180953528,-35.33108087066675,-35.851080772132946
8.684014634687028,74.57228009752733,15.135188160851794,-35.183472618064826,-35.907103676818714
8.309017048054375,74.39586347600985,12.520507209562394,-35.02960362005908,-35.907103676818714
8.590315120217037,73.9236661269823,7.3621206150455585,-35.24970093981135,-35.907103676818714
9.178831498210707,72.8856764124162,2.6735076598234224,-35.193667212499975,-35.907103676818714
