kernel_size,sigma,average_cost,best_cost
15.728104282249866,2.808642554494367,-31.957008759151073,-32.29542344327446
16.51780881110395,3.6500288979916746,-31.966918600381636,-32.29968576718331
17.228542887072624,4.407276607139251,-32.19832724765901,-32.29968576718331
17.612671837804328,4.882033206799054,-32.14729066669665,-32.304666838612384
17.603245279363716,4.605237325172858,-32.06946292981465,-32.3064221680392
17.216862553019283,3.974760040363451,-31.45103743019632,-32.3064221680392
16.80627476890267,3.363584982519889,-31.73998010976999,-32.30698589886088
16.79900632569785,2.808153673302611,-31.6569908587264,-32.30698589886088
16.830939385551712,2.4861122243466007,-31.759823243425398,-32.30718951707673
16.883202131549364,2.428746900243447,-32.01723290826162,-32.30718951707673
16.938645944263214,2.8406398437620566,-32.046189582805106,-32.30718951707673
17.127436584569068,3.4296926577617644,-31.995238179667126,-32.30718951707673
